date,time,open_price,high_price,low_price,close_price
2023-03-20,05:38:00,28015.0,28022.67,27976.44,28020.75
2023-03-20,05:39:00,28020.75,28054.5,28002.55,28014.87
2023-03-20,05:40:00,28014.87,28033.0,27984.58,28025.66
2023-03-20,05:41:00,28025.66,28082.59,28023.69,28078.14
2023-03-20,05:42:00,28078.14,28079.99,28030.76,28055.53
2023-03-20,05:43:00,28053.62,28064.25,28034.85,28036.97
2023-03-20,05:44:00,28039.91,28048.0,28030.27,28043.45
2023-03-20,05:45:00,28043.75,28044.95,28000.88,28032.8
2023-03-20,05:46:00,28032.8,28077.06,28031.03,28069.6
2023-03-20,05:47:00,28071.08,28073.38,28032.02,28033.3
2023-03-20,05:48:00,28033.3,28064.66,28033.09,28057.7
2023-03-20,05:49:00,28059.05,28059.07,28039.38,28049.9
2023-03-20,05:50:00,28049.9,28049.9,27968.75,28004.29
2023-03-20,05:51:00,28001.7,28033.0,27962.35,27998.18
2023-03-20,05:52:00,28001.03,28001.03,27969.4,27972.15
2023-03-20,05:53:00,27973.41,27977.31,27951.0,27963.19
2023-03-20,05:54:00,27963.19,27999.99,27961.45,27976.42
2023-03-20,05:55:00,27976.44,27993.33,27970.25,27990.46
2023-03-20,05:56:00,27990.46,28018.0,27987.5,28016.71
2023-03-20,05:57:00,28016.71,28038.5,27980.77,27996.98
2023-03-20,05:58:00,27996.98,28003.68,27951.0,27956.57
2023-03-20,05:59:00,27958.91,27999.18,27956.43,27975.77
2023-03-20,06:00:00,27977.53,27992.26,27904.78,27915.56
2023-03-20,06:01:00,27915.56,27940.61,27885.42,27891.06
2023-03-20,06:02:00,27888.36,27943.56,27870.01,27905.15
2023-03-20,06:03:00,27905.15,28008.38,27902.62,27996.09
2023-03-20,06:04:00,27993.47,28054.72,27990.67,28025.6
2023-03-20,06:05:00,28025.6,28048.12,28010.0,28024.52
2023-03-20,06:06:00,28021.71,28040.67,27996.02,28003.78
2023-03-20,06:07:00,28001.48,28038.0,28001.0,28018.99
2023-03-20,06:08:00,28020.74,28043.0,28013.06,28018.97
2023-03-20,06:09:00,28017.1,28045.0,28016.91,28030.0
2023-03-20,06:10:00,28030.0,28082.0,28028.0,28065.99
2023-03-20,06:11:00,28068.18,28086.24,28052.44,28080.0
2023-03-20,06:12:00,28080.0,28083.0,28039.0,28047.66
2023-03-20,06:13:00,28049.37,28071.84,28047.66,28062.84
2023-03-20,06:14:00,28062.84,28073.64,28040.0,28051.0
2023-03-20,06:15:00,28051.0,28099.59,28048.29,28087.12
2023-03-20,06:16:00,28089.45,28089.45,28050.0,28072.0
2023-03-20,06:17:00,28069.81,28072.0,28028.16,28031.48
2023-03-20,06:18:00,28031.48,28039.11,28017.1,28028.25
2023-03-20,06:19:00,28030.6,28051.26,28020.01,28045.02
2023-03-20,06:20:00,28045.02,28063.84,28025.11,28053.77
2023-03-20,06:21:00,28050.85,28057.59,28028.31,28031.87
2023-03-20,06:22:00,28031.87,28038.0,28018.4,28025.71
2023-03-20,06:23:00,28023.62,28025.71,27968.06,27982.63
2023-03-20,06:24:00,27985.06,27991.72,27950.23,27990.19
2023-03-20,06:25:00,27988.62,28002.54,27971.09,27972.77
2023-03-20,06:26:00,27975.26,28016.14,27968.55,27996.61
2023-03-20,06:27:00,27996.24,28017.07,27986.3,28009.01
2023-03-20,06:28:00,28010.1,28030.37,27993.43,28030.03
2023-03-20,06:29:00,28027.96,28038.0,28016.39,28028.59
2023-03-20,06:30:00,28029.2,28033.55,28004.78,28015.9
2023-03-20,06:31:00,28015.9,28030.0,27995.58,27998.02
2023-03-20,06:32:00,27996.51,28016.7,27982.0,28015.05
2023-03-20,06:33:00,28016.38,28024.21,27988.51,28002.74
2023-03-20,06:34:00,28003.77,28007.35,27990.52,27996.37
2023-03-20,06:35:00,27995.44,28019.99,27993.18,28016.69
2023-03-20,06:36:00,28016.79,28041.77,28011.79,28037.61
2023-03-20,06:37:00,28039.3,28062.0,28037.61,28045.64
2023-03-20,06:38:00,28043.78,28063.84,28038.47,28060.21
2023-03-20,06:39:00,28057.1,28063.84,28045.22,28048.73
2023-03-20,06:40:00,28050.71,28092.98,28041.73,28082.68
2023-03-20,06:41:00,28085.27,28161.47,28082.69,28131.14
2023-03-20,06:42:00,28131.14,28162.62,28106.96,28111.11
2023-03-20,06:43:00,28108.79,28135.63,28106.96,28123.26
2023-03-20,06:44:00,28123.26,28140.0,28115.81,28118.47
2023-03-20,06:45:00,28118.48,28153.0,28114.0,28125.0
2023-03-20,06:46:00,28125.67,28138.53,28118.83,28124.67
2023-03-20,06:47:00,28124.67,28128.47,28080.0,28102.85
2023-03-20,06:48:00,28102.85,28126.72,28086.36,28122.9
2023-03-20,06:49:00,28121.99,28130.99,28100.65,28102.8
2023-03-20,06:50:00,28104.5,28132.0,28090.89,28123.3
2023-03-20,06:51:00,28125.33,28141.64,28119.83,28136.17
2023-03-20,06:52:00,28134.34,28141.18,28120.67,28133.0
2023-03-20,06:53:00,28133.0,28133.26,28103.09,28130.67
2023-03-20,06:54:00,28130.67,28142.0,28120.67,28140.47
2023-03-20,06:55:00,28140.47,28141.34,28121.06,28127.07
2023-03-20,06:56:00,28128.99,28132.99,28100.16,28130.1
2023-03-20,06:57:00,28131.14,28131.14,28100.0,28102.8
2023-03-20,06:58:00,28102.8,28133.93,28096.0,28126.58
2023-03-20,06:59:00,28126.58,28128.43,28101.23,28112.88
2023-03-20,07:00:00,28110.24,28115.55,28061.9,28081.91
2023-03-20,07:01:00,28081.91,28138.5,28081.51,28131.1
